,Sex,AgeGroup,Year,State,DeathCount
255,Male,80-84,2001,Johor,459.0
256,Male,80-84,2001,Kedah,453.0
257,Male,80-84,2001,Kelantan,388.0
258,Male,80-84,2001,Melaka,172.0
259,Male,80-84,2001,Negeri Sembilan,211.0
260,Male,80-84,2001,Pulau Pinang,270.0
261,Male,80-84,2001,Pahang,205.0
262,Male,80-84,2001,Perak,564.0
263,Male,80-84,2001,Perlis,92.0
264,Male,80-84,2001,Sabah,0.0
265,Male,80-84,2001,Sarawak,544.0
266,Male,80-84,2001,Selangor,476.0
267,Male,80-84,2001,Terengganu,241.0
268,Male,80-84,2001,W.P. Kuala Lumpur,223.0
269,Male,80-84,2001,W.P. Labuan,9.0
270,Male,85+,2001,Johor,525.0
271,Male,85+,2001,Kedah,321.0
272,Male,85+,2001,Kelantan,299.0
273,Male,85+,2001,Melaka,144.0
274,Male,85+,2001,Negeri Sembilan,196.0
275,Male,85+,2001,Pulau Pinang,282.0
276,Male,85+,2001,Pahang,202.0
277,Male,85+,2001,Perak,570.0
278,Male,85+,2001,Perlis,65.0
279,Male,85+,2001,Sabah,0.0
280,Male,85+,2001,Sarawak,501.0
281,Male,85+,2001,Selangor,445.0
282,Male,85+,2001,Terengganu,181.0
283,Male,85+,2001,W.P. Kuala Lumpur,229.0
284,Male,85+,2001,W.P. Labuan,6.0
285,Female,Below 1,2001,Johor,208.0
286,Female,Below 1,2001,Kedah,149.0
287,Female,Below 1,2001,Kelantan,136.0
288,Female,Below 1,2001,Melaka,48.0
289,Female,Below 1,2001,Negeri Sembilan,64.0
290,Female,Below 1,2001,Pulau Pinang,63.0
291,Female,Below 1,2001,Pahang,95.0
292,Female,Below 1,2001,Perak,123.0
293,Female,Below 1,2001,Perlis,12.0
294,Female,Below 1,2001,Sabah,0.0
295,Female,Below 1,2001,Sarawak,120.0
296,Female,Below 1,2001,Selangor,200.0
297,Female,Below 1,2001,Terengganu,100.0
298,Female,Below 1,2001,W.P. Kuala Lumpur,85.0
299,Female,Below 1,2001,W.P. Labuan,3.0
300,Female,1-4,2001,Johor,45.0
301,Female,1-4,2001,Kedah,43.0
302,Female,1-4,2001,Kelantan,61.0
303,Female,1-4,2001,Melaka,15.0
304,Female,1-4,2001,Negeri Sembilan,17.0
305,Female,1-4,2001,Pulau Pinang,15.0
306,Female,1-4,2001,Pahang,53.0
307,Female,1-4,2001,Perak,55.0
308,Female,1-4,2001,Perlis,3.0
309,Female,1-4,2001,Sabah,0.0
310,Female,1-4,2001,Sarawak,34.0
311,Female,1-4,2001,Selangor,63.0
312,Female,1-4,2001,Terengganu,30.0
313,Female,1-4,2001,W.P. Kuala Lumpur,14.0
314,Female,1-4,2001,W.P. Labuan,0.0
315,Female,5-9,2001,Johor,49.0
316,Female,5-9,2001,Kedah,23.0
317,Female,5-9,2001,Kelantan,40.0
318,Female,5-9,2001,Melaka,9.0
319,Female,5-9,2001,Negeri Sembilan,12.0
320,Female,5-9,2001,Pulau Pinang,14.0
321,Female,5-9,2001,Pahang,20.0
322,Female,5-9,2001,Perak,32.0
323,Female,5-9,2001,Perlis,5.0
324,Female,5-9,2001,Sabah,0.0
325,Female,5-9,2001,Sarawak,26.0
326,Female,5-9,2001,Selangor,39.0
327,Female,5-9,2001,Terengganu,21.0
328,Female,5-9,2001,W.P. Kuala Lumpur,16.0
329,Female,5-9,2001,W.P. Labuan,2.0
330,Female,10-14,2001,Johor,34.0
331,Female,10-14,2001,Kedah,22.0
332,Female,10-14,2001,Kelantan,33.0
333,Female,10-14,2001,Melaka,10.0
334,Female,10-14,2001,Negeri Sembilan,9.0
335,Female,10-14,2001,Pulau Pinang,11.0
336,Female,10-14,2001,Pahang,24.0
337,Female,10-14,2001,Perak,27.0
338,Female,10-14,2001,Perlis,3.0
339,Female,10-14,2001,Sabah,0.0
340,Female,10-14,2001,Sarawak,24.0
341,Female,10-14,2001,Selangor,34.0
342,Female,10-14,2001,Terengganu,24.0
343,Female,10-14,2001,W.P. Kuala Lumpur,17.0
344,Female,10-14,2001,W.P. Labuan,0.0
345,Female,15-19,2001,Johor,58.0
346,Female,15-19,2001,Kedah,46.0
347,Female,15-19,2001,Kelantan,45.0
348,Female,15-19,2001,Melaka,18.0
349,Female,15-19,2001,Negeri Sembilan,19.0
350,Female,15-19,2001,Pulau Pinang,20.0
351,Female,15-19,2001,Pahang,36.0
352,Female,15-19,2001,Perak,56.0
353,Female,15-19,2001,Perlis,4.0
354,Female,15-19,2001,Sabah,0.0
355,Female,15-19,2001,Sarawak,26.0
356,Female,15-19,2001,Selangor,56.0
357,Female,15-19,2001,Terengganu,20.0
358,Female,15-19,2001,W.P. Kuala Lumpur,22.0
359,Female,15-19,2001,W.P. Labuan,0.0
360,Female,20-24,2001,Johor,58.0
361,Female,20-24,2001,Kedah,49.0
362,Female,20-24,2001,Kelantan,45.0
363,Female,20-24,2001,Melaka,11.0
364,Female,20-24,2001,Negeri Sembilan,23.0
365,Female,20-24,2001,Pulau Pinang,20.0
366,Female,20-24,2001,Pahang,49.0
367,Female,20-24,2001,Perak,44.0
368,Female,20-24,2001,Perlis,4.0
369,Female,20-24,2001,Sabah,0.0
370,Female,20-24,2001,Sarawak,39.0
371,Female,20-24,2001,Selangor,68.0
372,Female,20-24,2001,Terengganu,25.0
373,Female,20-24,2001,W.P. Kuala Lumpur,30.0
374,Female,20-24,2001,W.P. Labuan,0.0
375,Female,25-29,2001,Johor,64.0
376,Female,25-29,2001,Kedah,47.0
377,Female,25-29,2001,Kelantan,45.0
378,Female,25-29,2001,Melaka,9.0
379,Female,25-29,2001,Negeri Sembilan,23.0
380,Female,25-29,2001,Pulau Pinang,29.0
381,Female,25-29,2001,Pahang,41.0
382,Female,25-29,2001,Perak,59.0
383,Female,25-29,2001,Perlis,8.0
384,Female,25-29,2001,Sabah,0.0
385,Female,25-29,2001,Sarawak,51.0
386,Female,25-29,2001,Selangor,66.0
387,Female,25-29,2001,Terengganu,27.0
388,Female,25-29,2001,W.P. Kuala Lumpur,31.0
389,Female,25-29,2001,W.P. Labuan,0.0
390,Female,30-34,2001,Johor,97.0
391,Female,30-34,2001,Kedah,54.0
392,Female,30-34,2001,Kelantan,45.0
393,Female,30-34,2001,Melaka,16.0
394,Female,30-34,2001,Negeri Sembilan,28.0
395,Female,30-34,2001,Pulau Pinang,32.0
396,Female,30-34,2001,Pahang,50.0
397,Female,30-34,2001,Perak,88.0
398,Female,30-34,2001,Perlis,10.0
399,Female,30-34,2001,Sabah,0.0
400,Female,30-34,2001,Sarawak,58.0
401,Female,30-34,2001,Selangor,96.0
402,Female,30-34,2001,Terengganu,43.0
403,Female,30-34,2001,W.P. Kuala Lumpur,35.0
404,Female,30-34,2001,W.P. Labuan,2.0
405,Female,35-39,2001,Johor,106.0
406,Female,35-39,2001,Kedah,63.0
407,Female,35-39,2001,Kelantan,61.0
408,Female,35-39,2001,Melaka,23.0
409,Female,35-39,2001,Negeri Sembilan,32.0
410,Female,35-39,2001,Pulau Pinang,50.0
411,Female,35-39,2001,Pahang,39.0
412,Female,35-39,2001,Perak,104.0
413,Female,35-39,2001,Perlis,13.0
414,Female,35-39,2001,Sabah,0.0
415,Female,35-39,2001,Sarawak,77.0
416,Female,35-39,2001,Selangor,150.0
417,Female,35-39,2001,Terengganu,36.0
418,Female,35-39,2001,W.P. Kuala Lumpur,55.0
419,Female,35-39,2001,W.P. Labuan,1.0
420,Female,40-44,2001,Johor,169.0
421,Female,40-44,2001,Kedah,94.0
422,Female,40-44,2001,Kelantan,105.0
423,Female,40-44,2001,Melaka,34.0
424,Female,40-44,2001,Negeri Sembilan,62.0
425,Female,40-44,2001,Pulau Pinang,66.0
426,Female,40-44,2001,Pahang,79.0
427,Female,40-44,2001,Perak,142.0
428,Female,40-44,2001,Perlis,11.0
429,Female,40-44,2001,Sabah,0.0
430,Female,40-44,2001,Sarawak,125.0
431,Female,40-44,2001,Selangor,191.0
432,Female,40-44,2001,Terengganu,54.0
433,Female,40-44,2001,W.P. Kuala Lumpur,77.0
434,Female,40-44,2001,W.P. Labuan,4.0
435,Female,45-49,2001,Johor,232.0
436,Female,45-49,2001,Kedah,151.0
437,Female,45-49,2001,Kelantan,122.0
438,Female,45-49,2001,Melaka,60.0
439,Female,45-49,2001,Negeri Sembilan,89.0
440,Female,45-49,2001,Pulau Pinang,108.0
441,Female,45-49,2001,Pahang,115.0
442,Female,45-49,2001,Perak,184.0
443,Female,45-49,2001,Perlis,15.0
444,Female,45-49,2001,Sabah,0.0
445,Female,45-49,2001,Sarawak,138.0
446,Female,45-49,2001,Selangor,257.0
447,Female,45-49,2001,Terengganu,79.0
448,Female,45-49,2001,W.P. Kuala Lumpur,106.0
449,Female,45-49,2001,W.P. Labuan,3.0
450,Female,50-54,2001,Johor,282.0
451,Female,50-54,2001,Kedah,193.0
452,Female,50-54,2001,Kelantan,165.0
453,Female,50-54,2001,Melaka,82.0
454,Female,50-54,2001,Negeri Sembilan,106.0
455,Female,50-54,2001,Pulau Pinang,134.0
456,Female,50-54,2001,Pahang,116.0
457,Female,50-54,2001,Perak,274.0
458,Female,50-54,2001,Perlis,23.0
459,Female,50-54,2001,Sabah,0.0
460,Female,50-54,2001,Sarawak,201.0
461,Female,50-54,2001,Selangor,297.0
462,Female,50-54,2001,Terengganu,85.0
463,Female,50-54,2001,W.P. Kuala Lumpur,137.0
464,Female,50-54,2001,W.P. Labuan,4.0
465,Female,55-59,2001,Johor,295.0
466,Female,55-59,2001,Kedah,201.0
467,Female,55-59,2001,Kelantan,196.0
468,Female,55-59,2001,Melaka,108.0
469,Female,55-59,2001,Negeri Sembilan,96.0
470,Female,55-59,2001,Pulau Pinang,184.0
471,Female,55-59,2001,Pahang,162.0
472,Female,55-59,2001,Perak,329.0
473,Female,55-59,2001,Perlis,30.0
474,Female,55-59,2001,Sabah,0.0
475,Female,55-59,2001,Sarawak,257.0
476,Female,55-59,2001,Selangor,340.0
477,Female,55-59,2001,Terengganu,131.0
478,Female,55-59,2001,W.P. Kuala Lumpur,145.0
479,Female,55-59,2001,W.P. Labuan,4.0
480,Female,60-64,2001,Johor,462.0
481,Female,60-64,2001,Kedah,333.0
482,Female,60-64,2001,Kelantan,293.0
483,Female,60-64,2001,Melaka,137.0
484,Female,60-64,2001,Negeri Sembilan,155.0
485,Female,60-64,2001,Pulau Pinang,278.0
486,Female,60-64,2001,Pahang,213.0
487,Female,60-64,2001,Perak,465.0
488,Female,60-64,2001,Perlis,55.0
489,Female,60-64,2001,Sabah,0.0
490,Female,60-64,2001,Sarawak,290.0
491,Female,60-64,2001,Selangor,502.0
492,Female,60-64,2001,Terengganu,188.0
493,Female,60-64,2001,W.P. Kuala Lumpur,183.0
494,Female,60-64,2001,W.P. Labuan,5.0
495,Female,65-69,2001,Johor,531.0
496,Female,65-69,2001,Kedah,431.0
497,Female,65-69,2001,Kelantan,265.0
498,Female,65-69,2001,Melaka,194.0
499,Female,65-69,2001,Negeri Sembilan,211.0
500,Female,65-69,2001,Pulau Pinang,333.0
501,Female,65-69,2001,Pahang,213.0
502,Female,65-69,2001,Perak,709.0
503,Female,65-69,2001,Perlis,64.0
504,Female,65-69,2001,Sabah,0.0
505,Female,65-69,2001,Sarawak,414.0
506,Female,65-69,2001,Selangor,626.0
507,Female,65-69,2001,Terengganu,169.0
508,Female,65-69,2001,W.P. Kuala Lumpur,230.0
509,Female,65-69,2001,W.P. Labuan,7.0
510,Female,70-74,2001,Johor,718.0
511,Female,70-74,2001,Kedah,568.0
512,Female,70-74,2001,Kelantan,492.0
513,Female,70-74,2001,Melaka,241.0
514,Female,70-74,2001,Negeri Sembilan,272.0
515,Female,70-74,2001,Pulau Pinang,455.0
516,Female,70-74,2001,Pahang,240.0
517,Female,70-74,2001,Perak,818.0
518,Female,70-74,2001,Perlis,88.0
519,Female,70-74,2001,Sabah,0.0
520,Female,70-74,2001,Sarawak,503.0
521,Female,70-74,2001,Selangor,723.0
522,Female,70-74,2001,Terengganu,266.0
