State,Gender,Year,Values
Perlis,Total,2019,72.0
Pulau Pinang,Total,2019,75.5
Sabah,Total,2019,74.2
Sarawak,Total,2019,76.3
Selangor,Total,2019,75.7
Terengganu,Total,2019,72.2
W.P. Kuala Lumpur,Total,2019,76.9
W.P. Labuan,Total,2019,77.6
W.P. Putrajaya,Total,2019,73.8
Malaysia,Male,2019,72.5
Johor,Male,2019,72.1
Kedah,Male,2019,70.7
Kelantan,Male,2019,69.7
Melaka,Male,2019,72.2
Negeri Sembilan,Male,2019,70.9
Pahang,Male,2019,71.5
Perak,Male,2019,71.3
Perlis,Male,2019,69.3
Pulau Pinang,Male,2019,72.9
Sabah,Male,2019,72.5
Sarawak,Male,2019,74.5
Selangor,Male,2019,73.6
Terengganu,Male,2019,69.6
W.P. Kuala Lumpur,Male,2019,74.6
W.P. Labuan,Male,2019,76.3
W.P. Putrajaya,Male,2019,72.5
Malaysia,Female,2019,77.4
Johor,Female,2019,77.3
Kedah,Female,2019,76.4
Kelantan,Female,2019,75.8
Melaka,Female,2019,77.8
Negeri Sembilan,Female,2019,77.0
Pahang,Female,2019,76.6
Perak,Female,2019,77.4
Perlis,Female,2019,74.9
Pulau Pinang,Female,2019,78.2
Sabah,Female,2019,76.3
Sarawak,Female,2019,78.4
Selangor,Female,2019,78.0
Terengganu,Female,2019,75.2
W.P. Kuala Lumpur,Female,2019,79.5
W.P. Labuan,Female,2019,79.0
W.P. Putrajaya,Female,2019,74.5
Malaysia,Total,2020,74.7
Johor,Total,2020,74.3
Kedah,Total,2020,73.1
Kelantan,Total,2020,72.2
Melaka,Total,2020,74.0
Negeri Sembilan,Total,2020,73.3
Pahang,Total,2020,72.9
Perak,Total,2020,73.7
Perlis,Total,2020,72.8
Pulau Pinang,Total,2020,74.2
Sabah,Total,2020,74.3
Sarawak,Total,2020,75.1
Selangor,Total,2020,77.4
Terengganu,Total,2020,71.7
W.P. Kuala Lumpur,Total,2020,76.4
